Abbreviation of the operating point;Name of the operating point;Abkuerzung Betriebspunkt Strecke;Name of operating point distance;LINIE;Kilometry of the operating point;LINIENNAME;VERWALTUNG;E;N;geopos;BPUIC;Didok Nummer;Name Haltestelle;lod
TG;Turgi;TG;Turgi;710;27.43018;Zurich HB - Brugg AG;SBB;2661404.349;1260429.271;47.4917573104,8.25345865884;8503503;3503;Turgi;http://lod.opentransportdata.swiss/didok/8503503
TH;Thun;TH;Thun;299;137.01735;Thun AB - Thun;SBB;2614590.895;1178202.885;46.7548527757,7.62960576339;8507100;7100;Thun;http://lod.opentransportdata.swiss/didok/8507100
TIEF;Tiefenwinkel (Verzw);TIEF;Tiefenwinkel (Verzw);890;23.24708;Sargans Ost - Ziegelbrucke;SBB;2732830.614;1219783.307;47.1157111984,9.18902042385;8509420;9420;Tiefenwinkel (Verzw);http://lod.opentransportdata.swiss/didok/8509420
TOA;Tobel-Affeltrangen;TOA;Tobel-Affeltrangen;830;8.22472;Wil - Weinfelden;SBB;2720129.57;1264616.418;47.5213013698,9.03370938412;8506183;6183;Tobel-Affeltrangen;http://lod.opentransportdata.swiss/didok/8506183
TROU;Travers Ouest;TR;Travers;219;22.918;Auvernier - Les Verrieres frontiere;SBB;2541653.943;1198999.331;46.9395104105,6.67234471985;8515366;15366;Travers Ouest;http://lod.opentransportdata.swiss/didok/8515366
TRUE;Trubbach;TRUE;Trubbach;880;4.30173;Sargans Ost - St.Gallen;SBB;2755061.229;1215413.391;47.0715830597,9.4803456152;8509408;9408;Trübbach;http://lod.opentransportdata.swiss/didok/8509408
TSCH;Trubschachen;TSCH;Trubschachen;460;43.13448;Gumligen Sud - Fluhmuhle;SBB;2631038.861;1196813.787;46.9216999856,7.84614195149;8508208;8208;Trubschachen;http://lod.opentransportdata.swiss/didok/8508208
TUE;Tuscherz;TUE;Tuscherz;210;99.953;Daillens - Biel/Bienne;SBB;2581686.073;1218252.357;47.1150077795,7.19731832581;8504229;4229;Tüscherz;http://lod.opentransportdata.swiss/didok/8504229
TW;Thalwil;TW;Thalwil;660;12.09403;Thalwil - Zug - Fluhmuhle;SBB;2685175.08;1238954.704;47.2959813712,8.56476944831;8503202;3202;Thalwil;http://lod.opentransportdata.swiss/didok/8503202
TWNO;Thalwil Nord (Abzw);TW;Thalwil;720;11.66372;ZH Langstrasse - Thalwil - Ziegelbrucke;SBB;2684898.648;1239282.896;47.298968673,8.56117719727;8515177;15177;Thalwil Nord (Abzw);http://lod.opentransportdata.swiss/didok/8515177
TWS;Thalwil Sud (Abzw);TW;Thalwil;721;12.97242;Thalwil - Thalwil Sud;SBB;2685747.223;1238302.65;47.2900430414,8.5722084209;8515481;15481;Thalwil Süd (Abzw);http://lod.opentransportdata.swiss/didok/8515481
UET;Uetikon;UET;Uetikon;730;22.41884;Zurich Stadelhofen - Rapperswil;SBB;2693862.974;1234977.041;47.259030122,8.67878704546;8503105;3105;Uetikon;http://lod.opentransportdata.swiss/didok/8503105
UHDB;Unterhard BE;HRDF;Hardfeld (Spw);455;91.97738;Unterhard BE - Aespli;SBB;2606634.075;1209362.947;47.0352709721,7.52591375663;8515368;15368;Unterhard BE;http://lod.opentransportdata.swiss/didok/8515368
UTI;Uttigen;UTI;Uttigen;290;131.09513;Bern Wylerfeld - Thun;SBB;2610993.782;1182581.691;46.7943105089,7.58263041132;8507009;7009;Uttigen;http://lod.opentransportdata.swiss/didok/8507009
UZW;Uzwil;UZW;Uzwil;850;100.93553;St.Gallen - Winterthur Nord;SBB;2727658.553;1255337.179;47.4364440087,9.13099177983;8506208;6208;Uzwil;http://lod.opentransportdata.swiss/didok/8506208
VALF;Vallorbe-Frontiere;VALF;Vallorbe-Frontiere;203;459.612;Frasne - Vallorbe;SBB;2516591.446;1174179.911;46.7135937403,6.34776179403;8501102;1102;Vallorbe-Frontière;http://lod.opentransportdata.swiss/didok/8501102
VD;Vauderens;VD;Vauderens;250;30.49915;Lausanne Est - Bern;SBB;2554917.525;1163525.7;46.6214553801,6.85003751204;8504021;4021;Vauderens;http://lod.opentransportdata.swiss/didok/8504021
VIGA;Vigana (c bin);VIGA;Vigana (c bin);600;158.01354;Immensee - Bellinzona - Chiasso;SBB;2719147.848;1112195.184;46.1507035972,8.98089718238;8505246;5246;Vigana (c bin);http://lod.opentransportdata.swiss/didok/8505246
VM;Meyrin;VM;Meyrin;151;66.114;Geneve St-Jean - La Plaine-Frontiere;SBB;2494934.127;1119901.345;46.2223354073,6.07690083901;8501006;1006;Meyrin;http://lod.opentransportdata.swiss/didok/8501006
VMC;Vernier-Meyrin Cargo;VMC;Vernier-Meyrin Cargo;151;65.433;Geneve St-Jean - La Plaine-Frontiere;SBB;2495613.937;1119895.887;46.22239233,6.08571123453;8515778;15778;Vernier-Meyrin Cargo;http://lod.opentransportdata.swiss/didok/8515778
VOU;Vouvry;VOU;Vouvry;131;16.25175;Les Paluds - St-Gingolph (Frontiere);SBB;2558340.145;1131911.531;46.3372964345,6.89757547843;8501424;1424;Vouvry;http://lod.opentransportdata.swiss/didok/8501424
VV;Vevey;VV;Vevey;100;18.39805;Lausanne - Simplon Tunnel I - Iselle;SBB;2554278.705;1145915.435;46.4630017653,6.84344553365;8501200;1200;Vevey;http://lod.opentransportdata.swiss/didok/8501200
WAL;Walenstadt;WAL;Walenstadt;890;13.47461;Sargans Ost - Ziegelbrucke;SBB;2742224.765;1220463.252;47.1198735895,9.31298151857;8509414;9414;Walenstadt;http://lod.opentransportdata.swiss/didok/8509414
WBOL;Wangen bei Olten;WBOL;Wangen bei Olten;410;43.04188;Olten - Solothurn - Biel/Bienne;SBB;2632475.994;1243482.357;47.3414007003,7.86836046729;8500216;216;Wangen bei Olten;http://lod.opentransportdata.swiss/didok/8500216
WH;Wolhusen;WH;Wolhusen;445;25.2598;Huttwil - Wolhusen;SBB;2648710.701;1211805.481;47.055487921,8.07975409203;8508215;8215;Wolhusen;http://lod.opentransportdata.swiss/didok/8508215
WILA;Wila;WILA;Wila;754;18.1048;Winterthur Gruze - Bauma - Ruti ZH West;SBB;2706388.775;1252840.441;47.4177744617,8.84849082341;8506008;6008;Wila;http://lod.opentransportdata.swiss/didok/8506008
WILS;Wil Sud (Abzw);WIL;Wil SG;850;109.10071;St.Gallen - Winterthur Nord;SBB;2721014.211;1256960.961;47.4523008298,9.04337342045;8515483;15483;Wil Süd (Abzw);http://lod.opentransportdata.swiss/didok/8515483
WK;Weiach-Kaiserstuhl;WK;Weiach-Kaiserstuhl;701;29.62599;Eglisau - Koblenz - Stein Sackingen Ost;SBB;2674270.951;1268571.444;47.5636533783,8.42554071081;8503406;3406;Weiach-Kaiserstuhl;http://lod.opentransportdata.swiss/didok/8503406
WSEE;Winterthur Seen;WSEE;Winterthur Seen;754;4.43667;Winterthur Gruze - Bauma - Ruti ZH West;SBB;2700094.882;1260477.03;47.4874354197,8.76681346424;8506002;6002;Winterthur Seen;http://lod.opentransportdata.swiss/didok/8506002
WSO;Wallisellen Ost (Abzw);WS;Wallisellen;751;9.0124;ZH Langstr. - Wallisellen - Winterthur;SBB;2687644.388;1251739.811;47.410638716,8.59991424311;8515486;15486;Wallisellen Ost (Abzw);http://lod.opentransportdata.swiss/didok/8515486
WUER;Wurenlos;WUER;Wurenlos;703;39.04548;ZH Oerlikon Nord - Wettingen - Gruemet;SBB;2669316.886;1255402.072;47.4457594532,8.35766785904;8503529;3529;Würenlos;http://lod.opentransportdata.swiss/didok/8503529
WUZW;Wurenlingen Zwischenlager(Agl);WUZW;Wurenlingen Zwischenlager(Agl);702;32.735;Turgi - Koblenz - Waldshut;SBB;2660624.627;1265285.874;47.535506883,8.24377353809;8515756;15756;Würenlingen Zwischenlager(Agl);http://lod.opentransportdata.swiss/didok/8515756
ZAS;Zurich Altstetten;ZAS;Zurich Altstetten;710;4.1655;Zurich HB - Brugg AG;SBB;2679299.727;1249492.217;47.3914830997,8.48896269022;8503001;3001;Zürich Altstetten;http://lod.opentransportdata.swiss/didok/8503001
ZASN;Zurich Altstetten Nord (Abzw);ZAS;Zurich Altstetten;711;3.32874;ZH Hardbrucke - Kollermuhle;SBB;2680111.02;1249306.475;47.3897145057,8.49967379338;8515763;15763;Zürich Altstetten Nord (Abzw);http://lod.opentransportdata.swiss/didok/8515763
ZAU;Zurich Aussersihl (Abzw);ZAU;Zurich Aussersihl (Abzw);720;1.96265;ZH Langstrasse - Thalwil - Ziegelbrucke;SBB;2681666.533;1248121.011;47.3788621308,8.52005715565;8515482;15482;Zürich Aussersihl (Abzw);http://lod.opentransportdata.swiss/didok/8515482
ZB;Ziegelbrucke;ZB;Ziegelbrucke;890;33.60528;Sargans Ost - Ziegelbrucke;SBB;2722998.129;1221845.441;47.1361559024,9.06005168288;8503225;3225;Ziegelbrücke;http://lod.opentransportdata.swiss/didok/8503225
ZEN;Zurich Enge;ZEN;Zurich Enge;720;3.93155;ZH Langstrasse - Thalwil - Ziegelbrucke;SBB;2682502.144;1246491.012;47.3640988005,8.53082052143;8503010;3010;Zürich Enge;http://lod.opentransportdata.swiss/didok/8503010
ZF;Zofingen;ZF;Zofingen;500;47.46243;Basel SBB - Olten - Luzern;SBB;2638163.572;1237584.82;47.2880525355,7.94311764754;8502001;2001;Zofingen;http://lod.opentransportdata.swiss/didok/8502001
ZFN;Zofingen Nord (Abzw);ZF;Zofingen;504;0.41172;Zofingen - Suhr;SBB;2637946.449;1237935.728;47.2912212311,7.94027720007;8515435;15435;Zofingen Nord (Abzw);http://lod.opentransportdata.swiss/didok/8515435
ZG;Zug;ZG;Zug;660;38.82898;Thalwil - Zug - Fluhmuhle;SBB;2681601.238;1225309.019;47.1737069864,8.51504936752;8502204;2204;Zug;http://lod.opentransportdata.swiss/didok/8502204
ZGFR;Zug Fridbach;ZGFR;Zug Fridbach;665;2.09;Zug Sud - Arth-Goldau;SBB;2681418.255;1223402.356;47.1565811744,8.51229171673;8515994;15994;Zug Fridbach;http://lod.opentransportdata.swiss/didok/8515994
ZHOT;Zurich Hottingen (Spw);ZHOT;Zurich Hottingen (Spw);745;102.71157;ZH Langstrasse - Dietlikon Sud (S-Bahn);SBB;2684840.767;1246966.924;47.368081927,8.5618662136;8515495;15495;Zürich Hottingen (Spw);http://lod.opentransportdata.swiss/didok/8515495
ZHW;Zurich Hauptwerkstatte;ZHW;Zurich Hauptwerkstatte;718;3.07761;ZH Aussersihl - ZH Altstetten Sud;SBB;2680316.905;1249131.86;47.3881190101,8.50236906845;8515145;15145;Zürich Hauptwerkstätte;http://lod.opentransportdata.swiss/didok/8515145
ZLOG;Zurich Lochergut (Abzw);ZWIE;Zurich Wiedikon;722;2.2271;ZH Langstrasse - Nidelbad - Litti;SBB;2681563.046;1247877.651;47.376686316,8.51864269239;8515627;15627;Zürich Lochergut (Abzw);http://lod.opentransportdata.swiss/didok/8515627
ZLST;Zurich Langstrasse;ZUE;Zurich HB;710;0.92128;Zurich HB - Brugg AG;SBB;2682329.779;1248396.929;47.3812610413,8.52888957824;8503047;3047;Zürich Langstrasse;http://lod.opentransportdata.swiss/didok/8503047
ZLST;Zurich Langstrasse;ZUE;Zurich HB;720;1.21285;ZH Langstrasse - Thalwil - Ziegelbrucke;SBB;2682329.779;1248396.929;47.3812610413,8.52888957824;8503047;3047;Zürich Langstrasse;http://lod.opentransportdata.swiss/didok/8503047
ZLST;Zurich Langstrasse;ZUE;Zurich HB;722;1.17536;ZH Langstrasse - Nidelbad - Litti;SBB;2682329.779;1248396.929;47.3812610413,8.52888957824;8503047;3047;Zürich Langstrasse;http://lod.opentransportdata.swiss/didok/8503047
ZOEN;Zurich Oerlikon Nord (Abzw);ZOER;Zurich Oerlikon;760;5.32363;Zurich Hardbrucke  - Bulach;SBB;2683797.603;1252254.489;47.4157681408,8.54904766734;8515494;15494;Zürich Oerlikon Nord (Abzw);http://lod.opentransportdata.swiss/didok/8515494
ZOES;Zurich Oerlikon Sud (Abzw);ZOER;Zurich Oerlikon;748;205.91968;ZH Altstetten - ZH Oerlikon, DML;SBB;2682894.5736;1251222.7857;47.4066040909,8.53689163275;8516145;16145;Zürich Oerlikon Süd (Abzw);http://lod.opentransportdata.swiss/didok/8516145
ZSTH;Zurich Stadelhofen;ZSTH;Zurich Stadelhofen;730;5.69924;Zurich Stadelhofen - Rapperswil;SBB;2683832.75;1246788.882;47.3666097487,8.54848908807;8503003;3003;Zürich Stadelhofen;http://lod.opentransportdata.swiss/didok/8503003
ZULQ;Zurich Limmatquai Verl. Km-Axe;ZUE;Zurich HB;710;-0.1;Zurich HB - Brugg AG;SBB;2683282.968;1248030.269;47.3778437392,8.5414424535;8516199;16199;Zürich Limmatquai Verl Km-Axe;http://lod.opentransportdata.swiss/didok/8516199
ZVBN;Zurich Vorbahnhof Nord;ZVB;Zurich Vorbahnhof;759;1.75895;Zurich Vbhf Ost - Vbhf Nord;SBB;2681597.89;1248687.642;47.3839665561,8.51925165616;8515760;15760;Zürich Vorbahnhof Nord;http://lod.opentransportdata.swiss/didok/8515760
ZVIA;Zurich Viadukt (Abzw);ZVIA;Zurich Viadukt (Abzw);751;1.10245;ZH Langstr. - Wallisellen - Winterthur;SBB;2681708.889;1248757.715;47.3845829647,8.52073427338;8515179;15179;Zürich Viadukt (Abzw);http://lod.opentransportdata.swiss/didok/8515179
ZWD;Zweidlen;ZWD;Zweidlen;701;26.16243;Eglisau - Koblenz - Stein Sackingen Ost;SBB;2677450.051;1269367.85;47.5704481599,8.46791892376;8503405;3405;Zweidlen;http://lod.opentransportdata.swiss/didok/8503405
ZWIE;Zurich Wiedikon;ZWIE;Zurich Wiedikon;720;2.93357;ZH Langstrasse - Thalwil - Ziegelbrucke;SBB;2681936.758;1247303.593;47.3714772012,8.52348546565;8503011;3011;Zürich Wiedikon;http://lod.opentransportdata.swiss/didok/8503011
ZWOL;Zurich Wollishofen;ZWOL;Zurich Wollishofen;720;5.80646;ZH Langstrasse - Thalwil - Ziegelbrucke;SBB;2682738.002;1244641.995;47.34744029,8.53360098792;8503009;3009;Zürich Wollishofen;http://lod.opentransportdata.swiss/didok/8503009
AA;Aarau;AA;Aarau;650;41.50577;Killwangen West - Lenzburg - Daniken Ost;SBB;2646255.56;1249128.422;47.3913594962,8.05127371849;8502113;2113;Aarau;http://lod.opentransportdata.swiss/didok/8502113
ABOS;Aarburg-Oftringen Sud (Abzw);ABO;Aarburg-Oftringen;500;44.0;Basel SBB - Olten - Luzern;SBB;2636164.469;1240407.291;47.3135510897,7.91691900278;8502013;2013;Aarburg-Oftringen Süd (Abzw);http://lod.opentransportdata.swiss/didok/8502013
AD;Aadorf;AD;Aadorf;850;122.89829;St.Gallen - Winterthur Nord;SBB;2710378.309;1260736.003;47.4881181293,8.90330136421;8506013;6013;Aadorf;http://lod.opentransportdata.swiss/didok/8506013
AESP;Aespli;AESP;Aespli;455;92.76586;Unterhard BE - Aespli;SBB;2606453.566;1208598.853;47.0283996325,7.52352820073;8515299;15299;Aespli;http://lod.opentransportdata.swiss/didok/8515299
ARCY;Archy (bif);ARCY;Archy (bif);150;6.30658;Lausanne - Geneve-Aeroport;SBB;2532512.118;1154928.645;46.5422333431,6.55879213892;8501147;1147;Archy (bif);http://lod.opentransportdata.swiss/didok/8501147
AUSG;Au SG;AUSG;Au SG;880;51.04704;Sargans Ost - St.Gallen;SBB;2766141.131;1256256.244;47.4361157847,9.64125909278;8506316;6316;Au SG;http://lod.opentransportdata.swiss/didok/8506316
AUV;Auvernier;AUV;Auvernier;219;4.9791;Auvernier - Les Verrieres frontiere;SBB;2557322.201;1203328.107;46.9796416958,6.87770803075;8504219;4219;Auvernier;http://lod.opentransportdata.swiss/didok/8504219
BAAL;Baar Lindenpark;BAAL;Baar Lindenpark;660;28.158;Thalwil - Zug - Fluhmuhle;SBB;2681739.129;1226359.37;47.1831366943,8.51705847333;8515993;15993;Baar Lindenpark;http://lod.opentransportdata.swiss/didok/8515993
BAAN;Baar Neufeld;BAAN;Baar Neufeld;660;27.56;Thalwil - Zug - Fluhmuhle;SBB;2681785.685;1226955.555;47.1884929069,8.51778071656;8515992;15992;Baar Neufeld;http://lod.opentransportdata.swiss/didok/8515992
BAL;Balerna;BAL;Balerna;600;203.53433;Immensee - Bellinzona - Chiasso;SBB;2721687.132;1078448.626;45.8467450931,9.0050355847;8505306;5306;Balerna;http://lod.opentransportdata.swiss/didok/8505306
BALW;Baltenswil (Abzw);BALW;Baltenswil (Abzw);9784;16.297;Bassersdorf - Baltenswil (Abzw);SBB;2690955.3675;1254153.102;47.4325699908,8.64374998973;8519645;19645;Baltenswil (Abzw);http://lod.opentransportdata.swiss/didok/8519645
BAZM;Bazenheid MICARNA (Abzw);BAZM;Bazenheid MICARNA (Abzw);853;6.37866;Wil Sud - Wattwil - Uznach;SBB;2723180.346;1252833.607;47.4147850942,9.07095136634;8506224;6224;Bazenheid MICARNA (Abzw);http://lod.opentransportdata.swiss/didok/8506224
BAZZ;Bazenheid ZAB (Agl);BAZZ;Bazenheid ZAB (Agl);853;5.89806;Wil Sud - Wattwil - Uznach;SBB;2723307.507;1253281.987;47.4187932001,9.07275968849;8506223;6223;Bazenheid ZAB (Agl);http://lod.opentransportdata.swiss/didok/8506223
BD;Baden;BD;Baden;710;22.52873;Zurich HB - Brugg AG;SBB;2665511.295;1258768.411;47.4764242751,8.30770954022;8503504;3504;Baden;http://lod.opentransportdata.swiss/didok/8503504
BDF;Burgdorf;BDF;Burgdorf;450;83.3908;Olten Sud - Bern;SBB;2613907.459;1212202.502;47.0607007084,7.62169448665;8508005;8005;Burgdorf;http://lod.opentransportdata.swiss/didok/8508005
BFG;Bifang AG (Spw);RTR;Rothrist;453;44.86;Rothrist Ost - Rothrist Gleis 4;SBB;2634573.761;1240099.749;47.310870179,7.8958578897;8516022;16022;Bifang AG (Spw);http://lod.opentransportdata.swiss/didok/8516022
BIO;Biel/Bienne Ost;BI;Biel/Bienne;410;97.63034;Olten - Solothurn - Biel/Bienne;SBB;2586391.131;1220646.806;47.1366594938,7.25924112237;8515307;15307;Biel/Bienne Ost;http://lod.opentransportdata.swiss/didok/8515307
BIW;Biel/Bienne West;BI;Biel/Bienne;210;104.215;Daillens - Biel/Bienne;SBB;2584880.757;1220326.534;47.1337456625,7.23934274878;8515308;15308;Biel/Bienne West;http://lod.opentransportdata.swiss/didok/8515308
BLGK;Baldegg Kloster;BLGK;Baldegg Kloster;651;15.362;Hubeli - Beinwil - Lenzburg;SBB;2663820.469;1225859.873;47.1806160026,8.28059755571;8516353;16353;Baldegg Kloster;http://lod.opentransportdata.swiss/didok/8516353
BMA;Bauma;BMA;Bauma;742;25.26275;Hinwil - Baretswil - Bauma;SBB;2708732.707;1247441.069;47.3688366454,8.87823308218;8503134;3134;Bauma;http://lod.opentransportdata.swiss/didok/8503134
BMA;Bauma;BMA;Bauma;754;25.14292;Winterthur Gruze - Bauma - Ruti ZH West;SBB;2708732.707;1247441.069;47.3688366454,8.87823308218;8503134;3134;Bauma;http://lod.opentransportdata.swiss/didok/8503134
BNK;Benken SG;BNK;Benken SG;735;43.40673;Ziegelbrucke West - Rapperswil Ost;SBB;2718947.79;1229358.18;47.2044581464,9.00865422185;8503118;3118;Benken SG;http://lod.opentransportdata.swiss/didok/8503118
BNWK;Bern Wankdorf (Gl. 301 + 401);BNWD;Bern Wankdorf;290;108.97;Bern Wylerfeld - Thun;SBB;2602068.352;1201763.849;46.9669458841,7.46581026523;8516766;16766;Bern Wankdorf (Gl 301 + 401);http://lod.opentransportdata.swiss/didok/8516766
BOWN;Boniswil Nord;BONI;Boniswil;651;33.52;Hubeli - Beinwil - Lenzburg;SBB;2656191.788;1241391.326;47.3210006029,8.18190044284;8518171;18171;Boniswil Nord;http://lod.opentransportdata.swiss/didok/8518171
BRAG;Bad Ragaz;BRAG;Bad Ragaz;900;5.74004;Sargans Ost - Chur West (Gleisende);SBB;2757129.73;1208653.283;47.0103094511,9.50522497707;8509004;9004;Bad Ragaz;http://lod.opentransportdata.swiss/didok/8509004
BRG;Bargen;BRG;Bargen;251;93.93611;Palezieux Est - Lyss Nord;SBB;2586513.838;1209918.475;47.040161713,7.26118043728;8504403;4403;Bargen;http://lod.opentransportdata.swiss/didok/8504403
BRGL;Bruglen (Spw);BRGL;Bruglen (Spw);9668;48.5;"Projekt Alptransit Spange Rotkreuz""""";SBB;2676694.104;1220734.67;47.1331522686,8.44954830481;8515542;15542;Brüglen (Spw);http://lod.opentransportdata.swiss/didok/8515542
BRLO;Brig-Lotschberg (Abzw);BR;Brig;300;73.516;Spiez - Kandersteg - Brig;SBB;2642015.78;1129941.936;46.3195659116,7.9841556002;8515310;15310;Brig-Lötschberg (Abzw);http://lod.opentransportdata.swiss/didok/8515310
BRTU;Brig Tunnel;BRTU;Brig Tunnel;109;147.1499;Simplon Tunnel II;SBB;2643766.775;1130510.42;46.3245679148,8.00694223311;8501610;1610;Brig Tunnel;http://lod.opentransportdata.swiss/didok/8501610
BS;Basel SBB;BS;Basel SBB;510;142.20294;Mulhouse-Ville - Basel SBB;SBB;2611362.891;1266309.826;47.547412091,7.58956277697;8500010;10;Basel SBB;http://lod.opentransportdata.swiss/didok/8500010
BSAS;Basel SBB RB I (Abzw);BSRB;Basel SBB RB;530;7.33531;Basel SBB RB I  - Schweizerhalle;SBB;2618038.563;1263807.778;47.5247604937,7.6781387218;8515381;15381;Basel SBB RB I (Abzw);http://lod.opentransportdata.swiss/didok/8515381
BSD;Bassersdorf;BSD;Bassersdorf;752;14.75314;Zurich Oerlikon Nord - Hurlistein (Abzw);SBB;2689582.648;1254874.74;47.4385705613,8.62622097081;8503307;3307;Bassersdorf;http://lod.opentransportdata.swiss/didok/8503307
BSVL;Basel SBB GB VL;BSGB;Basel SBB GB;512;121.22952;Ruchfeld - Basel SBB GB St.Jakob;SBB;2613100.115;1265369.81;47.5389256093,7.61261183866;8500047;47;Basel SBB GB VL;http://lod.opentransportdata.swiss/didok/8500047
BUE;Bulach;BUE;Bulach;760;20.27248;Zurich Hardbrucke  - Bulach;SBB;2682660.579;1264267.926;47.5239499588,8.53620921292;8503400;3400;Bülach;http://lod.opentransportdata.swiss/didok/8503400
BUE;Bulach;BUE;Bulach;769;16.25824;Winterthur West - Bulach;SBB;2682660.579;1264267.926;47.5239499588,8.53620921292;8503400;3400;Bülach;http://lod.opentransportdata.swiss/didok/8503400
BUET;Butschwil;BUET;Butschwil;853;12.92551;Wil Sud - Wattwil - Uznach;SBB;2723625.228;1246704.953;47.3595912248,9.07515108926;8506203;6203;Bütschwil;http://lod.opentransportdata.swiss/didok/8506203
BURN;Buchrain;BURN;Buchrain;660;57.065;Thalwil - Zug - Fluhmuhle;SBB;2669698.653;1216256.718;47.0936499334,8.35665846265;8516350;16350;Buchrain;http://lod.opentransportdata.swiss/didok/8516350
BV;Bevaix;BV;Bevaix;210;62.27922;Daillens - Biel/Bienne;SBB;2552254.123;1197813.926;46.9296962618,6.81168022806;8504206;4206;Bevaix;http://lod.opentransportdata.swiss/didok/8504206
BW;Beinwil am See;BW;Beinwil am See;651;27.20359;Hubeli - Beinwil - Lenzburg;SBB;2657787.244;1235427.055;47.2672198143,8.20223549104;8502034;2034;Beinwil am See;http://lod.opentransportdata.swiss/didok/8502034
BWL;Birrwil;BWL;Birrwil;651;29.51503;Hubeli - Beinwil - Lenzburg;SBB;2657521.485;1237718.954;47.2878565649,8.19901726528;8502033;2033;Birrwil;http://lod.opentransportdata.swiss/didok/8502033
BWY;Bern Wyler;BWY;Bern Wyler;450;103.36806;Olten Sud - Bern;SBB;2601647.896;1201725.041;46.9665979143,7.46028541655;8519030;19030;Bern Wyler;http://lod.opentransportdata.swiss/didok/8519030
BX;Buix;BX;Buix;240;121.45023;Delemont - Delle;SBB;2569196.944;1258810.209;47.479333265,7.0299672105;8500144;144;Buix;http://lod.opentransportdata.swiss/didok/8500144
BYSC;Bussigny-Scheuchzer (bif);BY;Bussigny;169;14.50609;Lausanne-Triage sect. - Bussigny;SBB;2532268.258;1155225.247;46.5448766674,6.55556957668;8515313;15313;Bussigny-Scheuchzer (bif);http://lod.opentransportdata.swiss/didok/8515313
BZ;Bressonnaz;BZ;Bressonnaz;251;36.065;Palezieux Est - Lyss Nord;SBB;2550445.066;1167084.669;46.6531516144,6.79126313714;8504019;4019;Bressonnaz;http://lod.opentransportdata.swiss/didok/8504019
CABS;Carouge-Bachet saut du Km;CABA;Lancy-Bachet;152;65.42644;St-Jean - Geneve-Eaux-Vives - Annemasse;SBB;2498705.227;1114616.116;46.1753773838,6.12691510496;8518336;18336;Carouge-Bachet saut du Km;http://lod.opentransportdata.swiss/didok/8518336
CABV;Monthey Centre agr Bas-V (embr;CABV;Monthey Centre agr Bas-V (embr;131;9.087;Les Paluds - St-Gingolph (Frontiere);SBB;2561713.097;1125598.279;46.2807072598,6.94190189268;8501436;1436;Monthey Centre agr Bas-V (embr;http://lod.opentransportdata.swiss/didok/8501436
CAMN;Camorino Nord;CAMO;Camorino (dira);580;227.24318;CBT Est;SBB;2719509.749;1113079.876;46.1585963483,8.98580623937;8515977;15977;Camorino Nord;http://lod.opentransportdata.swiss/didok/8515977
CAMS;Camorino Sud;CAMO;Camorino (dira);580;228.14415;CBT Est;SBB;2719679.536;1112195.074;46.1506083737,8.98777758232;8515978;15978;Camorino Sud;http://lod.opentransportdata.swiss/didok/8515978
CAMS;Camorino Sud;CAMO;Camorino (dira);592;228.14415;Verbindungslinie CBT Ovest Camorino Sud;SBB;2719679.536;1112195.074;46.1506083737,8.98777758232;8515978;15978;Camorino Sud;http://lod.opentransportdata.swiss/didok/8515978
CC;Concise;CC;Concise;210;50.752;Daillens - Biel/Bienne;SBB;2545432.736;1189110.287;46.8508815711,6.72315746125;8504203;4203;Concise;http://lod.opentransportdata.swiss/didok/8504203
CDM;Champ-du-Moulin;CDM;Champ-du-Moulin;219;13.64584;Auvernier - Les Verrieres frontiere;SBB;2549488.417;1201195.917;46.9599117835,6.77498900486;8504217;4217;Champ-du-Moulin;http://lod.opentransportdata.swiss/didok/8504217
CHNF;Chambrelien (cul-de-sac);CHN;Chambrelien;223;10.73519;Neuchatel-Vauseyon - Chambrelien;SBB;2552058.431;1201788.636;46.9654341961,6.80869076145;8515315;15315;Chambrelien (cul-de-sac);http://lod.opentransportdata.swiss/didok/8515315
CHSN;Chiasso Smistamento Nord (bif);CHSM;Chiasso Smistamento;638;204.52403;Balerna SM - Chiasso Smistamento;SBB;2721646.467;1077852.59;45.841391918,9.00435921039;8515394;15394;Chiasso Smistamento Nord (bif);http://lod.opentransportdata.swiss/didok/8515394
CHV;Chavornay;CHV;Chavornay;211;27.45883;Chavornay - Orbe;SBB;2533438.279;1173578.838;46.7100845475,6.56816325981;8501112;1112;Chavornay;http://lod.opentransportdata.swiss/didok/8501112
CL;Clarens;CL;Clarens;100;23.0952;Lausanne - Simplon Tunnel I - Iselle;SBB;2558283.195;1143633.665;46.4427382543,6.89578000213;8501203;1203;Clarens;http://lod.opentransportdata.swiss/didok/8501203
COG;Corgemont;COG;Corgemont;225;50.22;Biel/Bienne West - La Chaux-de-Fonds;SBB;2577722.561;1226981.14;47.1933987679,7.14466144647;8504305;4305;Corgémont;http://lod.opentransportdata.swiss/didok/8504305
COTD;Cottendart (embr);BOLE;Bole;219;7.6866;Auvernier - Les Verrieres frontiere;SBB;2554879.583;1202417.387;46.9712879285,6.84569599258;8504339;4339;Cottendart (embr);http://lod.opentransportdata.swiss/didok/8504339
COUS;Cousset;COUS;Cousset;253;31.76659;Payerne Est - Fribourg Nord;SBB;2564808.571;1185376.409;46.8186048895,6.97749111753;8504136;4136;Cousset;http://lod.opentransportdata.swiss/didok/8504136
