Abbreviation of the operating point;Name of the operating point;Abkuerzung Betriebspunkt Strecke;Name of operating point distance;LINIE;Kilometry of the operating point;LINIENNAME;VERWALTUNG;E;N;geopos;BPUIC;Didok Nummer;Name Haltestelle;lod
BU;Buchs SG;BU;Buchs SG;880;15.86893;Sargans Ost - St.Gallen;SBB;2754651.563;1226171.291;47.1684119711,9.47863664902;8509404;9404;Buchs SG;http://lod.opentransportdata.swiss/didok/8509404
BUDZ;Burgau Deponie ZAB (Agl);BUDZ;Burgau Deponie ZAB (Agl);850;93.21929;St.Gallen - Winterthur Nord;SBB;2734055.841;1252250.981;47.4074212588,9.21484598227;8506219;6219;Burgau Deponie ZAB (Agl);http://lod.opentransportdata.swiss/didok/8506219
BURB;Buchs SG RB;BU;Buchs SG;884;19.35133;Buchs - Buchs RB;SBB;2754508.515;1226979.672;47.1757141306,9.47702767824;8516703;16703;Buchs SG RB;http://lod.opentransportdata.swiss/didok/8516703
BURE;Bure-Casernes;BURE;Bure-Casernes;241;4.935;Courtemaiche - Bure-Casernes;SBB;2567791.714;1255980.863;47.4538189462,7.01152971988;8500131;131;Bure-Casernes;http://lod.opentransportdata.swiss/didok/8500131
BURI;Burier;BURI;Burier;100;21.5267;Lausanne - Simplon Tunnel I - Iselle;SBB;2556853.521;1144216.064;46.4478864389,6.87712181217;8501202;1202;Burier;http://lod.opentransportdata.swiss/didok/8501202
BYE;Bussigny Est (bif);BY;Bussigny;206;6.33829;Renens VD Ouest - Bussigny Est;SBB;2532488.449;1155231.902;46.5449587809,6.55843914447;8515312;15312;Bussigny Est (bif);http://lod.opentransportdata.swiss/didok/8515312
CABA;Lancy-Bachet;CABA;Lancy-Bachet;152;65.649;St-Jean - Geneve-Eaux-Vives - Annemasse;SBB;2498892.237;1114496.861;46.1743328594,6.12936217573;8517142;17142;Lancy-Bachet;http://lod.opentransportdata.swiss/didok/8517142
CAMN;Camorino Nord;CAMO;Camorino (dira);591;227.24318;Verbindungslinie CBT Est Camorino Nord;SBB;2719509.749;1113079.876;46.1585963483,8.98580623937;8515977;15977;Camorino Nord;http://lod.opentransportdata.swiss/didok/8515977
CAP;Capolago-Riva S. Vitale;CAP;Capolago-Riva S. Vitale;636;0.0;Capolago-Riva S. Vitale - Monte Generoso;SBB;2719534.984;1084642.939;45.9028373055,8.97890520587;8505304;5304;Capolago-Riva S Vitale;http://lod.opentransportdata.swiss/didok/8505304
CASN;Castione Nord (c bin);CASN;Castione Nord (c bin);600;145.8593;Immensee - Bellinzona - Chiasso;SBB;2723189.659;1121866.166;46.2369551337,9.0357485594;8518908;18908;Castione Nord (c bin);http://lod.opentransportdata.swiss/didok/8518908
CDO;Cadenazzo Ovest (bif);CD;Cadenazzo;630;161.12861;Giubiasco - Locarno;SBB;2714475.879;1112521.245;46.1544462564,8.92051744854;8515391;15391;Cadenazzo Ovest (bif);http://lod.opentransportdata.swiss/didok/8515391
CDO;Cadenazzo Ovest (bif);CD;Cadenazzo;631;161.12861;Cadenazzo - Pino confine;SBB;2714475.879;1112521.245;46.1544462564,8.92051744854;8515391;15391;Cadenazzo Ovest (bif);http://lod.opentransportdata.swiss/didok/8515391
CEL;Celigny;CEL;Celigny;150;43.45076;Lausanne - Geneve-Aeroport;SBB;2504658.576;1133708.5621;46.3479745705,6.20008722493;8501024;1024;Céligny;http://lod.opentransportdata.swiss/didok/8501024
CF;La Chaux-de-Fonds;CF;La Chaux-de-Fonds;224;29.457;Chambrelien Nord - Le Locle (Frontiere);SBB;2553490.0687;1216557.0295;47.0983743601,6.82598273812;8504314;4314;La Chaux-de-Fonds;http://lod.opentransportdata.swiss/didok/8504314
CFN;La Chaux-de-Fonds Nord;CF;La Chaux-de-Fonds;224;29.06572;Chambrelien Nord - Le Locle (Frontiere);SBB;2553830.779;1216730.618;47.0999596356,6.83045275761;8515314;15314;La Chaux-de-Fonds Nord;http://lod.opentransportdata.swiss/didok/8515314
CFV;Courfaivre;CFV;Courfaivre;240;90.109;Delemont - Delle;SBB;2588854.779;1242701.98;47.3350831253,7.29116575545;8500121;121;Courfaivre;http://lod.opentransportdata.swiss/didok/8500121
CGY;Cugy FR;CGY;Cugy FR;252;23.68366;Yverdon Est - Payerne;SBB;2558066.165;1185133.503;46.8160282519,6.88916452464;8504133;4133;Cugy FR;http://lod.opentransportdata.swiss/didok/8504133
CHAM;Cham;CHAM;Cham;660;43.57412;Thalwil - Zug - Fluhmuhle;SBB;2677232.606;1225755.134;47.178243841,8.45750481581;8502203;2203;Cham;http://lod.opentransportdata.swiss/didok/8502203
CHAV;Chavannes;CHAV;Chavannes;210;93.733;Daillens - Biel/Bienne;SBB;2576719.188;1214671.083;47.0826380429,7.13205855375;8504241;4241;Chavannes;http://lod.opentransportdata.swiss/didok/8504241
CHI;Chiasso;CHI;Chiasso;600;206.16614;Immensee - Bellinzona - Chiasso;SBB;2723771.763;1076869.762;45.8321680089,9.0314495232;8505307;5307;Chiasso;http://lod.opentransportdata.swiss/didok/8505307
CHN;Chambrelien;CHN;Chambrelien;223;10.3982;Neuchatel-Vauseyon - Chambrelien;SBB;2552331.304;1201972.647;46.9671090344,6.81225671255;8504234;4234;Chambrelien;http://lod.opentransportdata.swiss/didok/8504234
