Region;project;bp_from;bp_to;km from;km to;distance;Bemerkungen;date from;date to;amount of weeks;"Umsetzung / 
Intervalltyp / Umleitung";reduction of capacity;bis_geopos;von Betriebspunkt
RME;Olten-Aarburg-Olten ZfZ;OL;ABO;39.3;44;0.044;;2026-01-01;2028-11-15;150.0;Sperre Bahnhof Nacht;0.5;47.3202684783,7.90822265971;Aarburg-Oftringen
RME;ABO Perronverlängerung;ABO;ABO;42.75;43.1;0.0431;;2029-04-01;2029-12-01;35.0;Sperre Strecke Nacht;;47.3202684783,7.90822265971;Aarburg-Oftringen
RME;Sursee: FbE Gl 71-81,72-82 & Weichen 40,63,64;SS;SS;69.7;70.1;0.0701;"Fahrbahnerneuerung zusammen mit 
P55 Oberkirch D-12995 (ISP 1156484)";2024-08-18;2024-10-19;9.0;Sperre Strecke 24 Std;0.25;47.170795068,8.09789385181;Sursee
RME;FMUE - EBR, FbE24 Gleis 91-291;FMUE;EBR;91.324;90.7;0.0907;;2024-01-15;2024-12-15;48.0;Sperre Strecke Nacht;;47.070601491,8.28256532837;Emmenbrücke
RME;Bhf OL Gl. 2-4;OL;OL;39.11;39.51;0.03951;Wochenendsperrung;2024-01-01;2024-12-29;52.0;Sperre Bahnhof 24 Std;0.25;47.3519347412,7.90769966099;Olten
RME;BS, W. 246, 330, Gl. L44, L64;BS;BS;;;0;;2024-01-01;2024-12-29;52.0;Sperre Bahnhof Nacht;0.25;47.547412091,7.58956277697;Basel SBB
RME;"AS35 LB-HU: partielle
Doppelspur";LB;HU;60.5;62.8;0.0628;;2026-01-01;2030-12-25;260.0;Sperre Strecke Nacht;0.25;47.3882858408,8.12569329661;Hunzenschwil
RME;AS35 SCOE Neubau Wendegleisanlage;SCOE;SCOE;;;0;BZU-Projekt abgestimmt auf AS35;2026-06-01;2027-12-12;80.0;Sperre Bahnhof Nacht;0.5;47.3714238978,8.00015834607;Schönenwerd SO
RME;UF Eppenberg;DK;AA;;;0;"Total 40 Sperrungen von 22.20-05.40.
	10 Sperrungen, zusammenhängend ab So bis Fr je Quartal";2024-01-01;2024-12-29;52.0;Sperre Strecke Nacht;0.5;47.3913594962,8.05127371849;Aarau
RME;"LZVH MEG KUE,
Stellwerkersatz";FMUE;IM;4.38;17.1;0.0171;;2023-07-01;2025-12-26;130.0;Sperre Strecke Nacht;0.25;47.0916186586,8.46267208892;Immensee
RME;Immensee, BZU23 und Instandsetzung U Kantonsstrasse;IM;IM;0.05;0.75;0.00075;Immensee: Koo BZU23 und Instandsetzung U Kantonsstrasse im 2025;2025-02-01;2025-10-31;39.0;Sperre Bahnhof 24 Std;0.25;47.0916186586,8.46267208892;Immensee
RME;LB=RU, Gl. 23-333-22, 22-433-23;LB;RU;32.83;35.3;0.0353;;2024-01-01;2024-12-15;50.0;Sperre Strecke Nacht;0.5;47.4032902238,8.12695636496;Rupperswil
RME;;AA;RU;;;0;FbE24 Aarau Weichen 10-12 (und allenf. 27-35+Gleis 241);2024-01-01;2024-12-29;52.0;Sperre Strecke 24 Std;0.5;47.4032902238,8.12695636496;Rupperswil
RME;Immensee, BZU23 und Instandsetzung U Kantonsstrasse;IM;IM;0.05;0.75;ganzer Bhf;"mmensee: Koo BZU23 und
Instandsetzung U Kantonsstrasse im 2025";2025-02-01;2025-10-31;39.0;Sperre Bahnhof Tag;0.25;47.0916186586,8.46267208892;Immensee
RWT;RIM La Plaine - Vernier + Viaduc de l^'Alondon;LP;CHNE;;;;;2024-01-01;2024-12-29;52.0;Sperre Strecke 24 Std;0.5;46.2171294664,6.10260397474;Châtelaine (bif)
RWT;St.Prex - Morges : FbE voie 409;MOR;STP;16.6;13.2;3.4;;2024-07-29;2024-08-25;4.0;Sperre Strecke 24 Std;0.5;46.4823168698,6.45590595285;St-Prex
RWT;FbE  2024 Denges - Renens voie 400;DEN;REN;6.596;4.965;1.631;;2024-03-17;2024-04-27;6.0;Sperre Strecke Nacht;0.25;46.5370424761,6.57893536401;Renens VD
RWT;Lausanne - Grandvaux : viaduc de Rochettaz;LS;CVN;;;;;2024-01-01;2024-10-06;40.0;Sperre Strecke 24 Std;0.5;46.5130844611,6.67832353213;La Conversion
RWT;Lausanne - La Conversion : viaduc du Châtelard;LS;CVN;;;;;2028-01-01;2028-10-06;40.0;Sperre Strecke 24 Std;0.5;46.5130844611,6.67832353213;La Conversion
RWT;Rose :  Wako lot 5.1;ROS;ROS;;;;;2024-01-01;2024-12-29;52.0;Sperre Bahnhof 24 Std;0.5;46.7826334225,7.06196863764;Rosé
RWT;Monthey - St-Gingolph, renouvellement voie, LC et PN;MTH;BOU;6.492;22.148;-15.656;EP terminée, Putz-Perrier;;;;;;46.385817123,6.85324388418;Bouveret
RWT;Neuchâtel Serrières : mise en conformité;NESE;NESE;72.2;72.6;-0.4;;2024-01-01;2024-12-29;52.0;Sperre Bahnhof Nacht;0.5;46.9839623251,6.903362631;Neuchâtel-Serrières
RWT;AS25 : doppelspur Ligerz-Twann;LIG;TWN;96.153;93.919;2.234;;;1899-12-29;;;;47.0936641015,7.15649746383;Twann
RWT;SBL-CORN FS23 Renouvellement;SBL;CORN;79.975;82.745;-2.77;pas de CPr / replanifié 2025;2025-07-04;2025-07-24;3.0;Sperre Strecke Nacht;0.25;47.0385720221,7.02336560983;Cornaux
RWT;LHE, assainissement pont de Tournedos;LHE;LHE;47.235;;;Frédéric Restani;2024-01-01;2024-12-29;52.0;Sperre Strecke 24 Std;0.5;47.1894917627,7.22539576798;La Heutte
ROT;HGO Bahnhofumbau;HGO;HGO;;;;;2024-01-01;2025-11-30;100.0;Umsetzung;;47.2587498232,8.58981587397;Horgen Oberdorf
ROT;Nur Link zu Unterlagen / RSD;;;;;;;;1899-12-29;;;;;
ROT;ZWD Stw Ersatz;ZWD;ZWD;;;;;2025-01-01;2026-12-01;100.0;Umsetzung;;47.5704481599,8.46791892376;Zweidlen
ROT;FbE24 DT Gl. 4+5 (ex 2021);DT;DT;;;;;2024-06-01;2024-07-26;8.0;Sperre Strecke Nacht;0.5;47.405783798,8.40498813474;Dietikon
ROT;AS35 ZBTII;TW;TW;;;;;2030-01-01;2034-10-16;250.0;Umsetzung;;47.2959813712,8.56476944831;Thalwil
ROT;AS25: PF-ALTD Güterüberholgleis;PF;ALTD;34.4;35.7;;Bauphasenplanung bis 09/2020;2023-08-01;2025-06-30;100.0;Sperre Strecke Nacht;0.25;47.1939670295,8.82290588686;Altendorf
ROT;Stw Ersatz ZWIE;ZWIE;ZWIE;;;;;2027-01-01;2028-11-30;100.0;Umsetzung;;47.3714772012,8.52348546565;Zürich Wiedikon
ROT;Stw Ersatz HG;HG;HG;;;;;2028-01-01;2029-11-30;100.0;Umsetzung;;47.2614833923,8.59691702338;Horgen
ROT;Ulmenberg-Engetunnel;ZWIE;ZWOL;;;;;2024-12-08;2025-12-06;52.0;Sperre Strecke 24 Std;0.5;47.34744029,8.53360098792;Zürich Wollishofen
ROT;FbE25: PF- LA Gl. 200 (ex FbE20);PF;LA;;;1;Umsetzung 24 od. 25? MARS + RS nicht identisch;2024-06-23;2024-09-28;14.0;Sperre Strecke Nacht;0.5;47.1900684227,8.85271520237;Lachen
ROT;AS35 ZSTH 4. Gleis, DS ZSTH-ZTB;ZSTH;ZSTH;;;0;;2026-01-01;2035-08-01;500.0;Umsetzung;;47.3666097487,8.54848908807;Zürich Stadelhofen
ROT;FbE24 ZTB W1-4;ZTB;ZTB;;;0;W3/4 Geometrieänderung! Koo mit Sperrung Riesbachtunnel;2024-01-01;2024-02-04;5.0;Sperre Strecke Nacht;0.25;47.3501246373,8.56138988846;Zürich Tiefenbrunnen
ROT;AS35 HERL-ML DS;HERL;ML;;;0;Konflikt mit Uster- Aatal;2026-01-01;2028-11-15;150.0;Umsetzung;;47.2698111422,8.64431191081;Meilen
ROT;AS35 MAEN Kreuzungsstation;MAEN;MAEN;;;0;;2031-01-01;2032-11-30;100.0;Umsetzung;;47.2534240091,8.69234616957;Männedorf
ROT;UER Stw Ersatz (ex 2024);UER;UER;;;0;;2026-01-01;2026-10-07;40.0;Umsetzung;;47.2358608014,8.75262523013;Uerikon
ROT;FB Stw Ersatz (ex 2024);FB;FB;;;0;;2026-01-01;2026-10-07;40.0;Umsetzung;;47.2392035255,8.78349775224;Feldbach
ROT;AS35 ZFZ LU-LIN+LGB Kreuzungstation;LU;LIN;;;0;Start VS 06/21;2025-01-01;2026-12-01;100.0;Umsetzung;;46.9255635637,8.9977948688;Linthal
ROT;FsE21 O 760 GLB FL-Erneuerung;GLB;GLB;;;0;ev. Restausführung im 2024;2024-01-02;2024-05-20;20.0;Umsetzung;;47.4308267427,8.55885413606;Glattbrugg
ROT;FbE 25_GLB Gl_31,67, W38, W54 (ex FbE22);GLB;GLB;;;0;;2025-01-01;2025-04-15;15.0;Umsetzung;;47.4308267427,8.55885413606;Glattbrugg
ROT;SHGB G 750m;SHRB;SHRB;;;0;;2025-01-01;2027-06-29;130.0;Umsetzung;;47.7099047766,8.64113837569;Schaffhausen GB
ROT;SH Anlageanpassung;SH;SH;;;0;;2024-01-01;2024-10-06;40.0;Umsetzung;0.25;47.6982814967,8.63275579305;Schaffhausen
ROT;Stw Ersatz MELS;MELS;MELS;;;0;;2025-01-01;2026-12-01;100.0;Umsetzung;;47.053746248,9.41775823249;Mels
ROT;Stw Ersatz Weesen;WN;WN;;;0;;2025-01-01;2026-12-01;100.0;Umsetzung;;47.1299210164,9.09471050742;Weesen
ROT;AS35 LQ zusätzliche und längere Annahmegleise Graubünden;LQ;LQ;;;0;;2024-01-01;2028-10-15;250.0;Umsetzung;;46.9674404286,9.55404467894;Landquart
ROT;AS35 ZSTH 4. Gl., DS ZSTH-ZTB;ZSTH;ZTB;;;0;Projektierungs-ISP 1149876;2026-01-01;2035-08-01;500.0;Umsetzung;;47.3501246373,8.56138988846;Zürich Tiefenbrunnen
ROT;FbE24 Neugut NEGW W 13-16;NEGW;NEGW;;;0;Fpl Konzept nötig (WE Sperrungen);2024-01-01;2024-02-04;5.0;Umsetzung;;47.4031673379,8.60214177405;Neugut West bei DUE (Abzw)
ROT;STET Stw Ersatz;STET;STET;;;0;integriert AS35 ZSTH 4. Gl?;2029-01-01;2030-12-01;100.0;Umsetzung;;47.3972153717,8.59614480424;Stettbach
ROT;DTL Stw Ersatz;DTL;DTL;;;0;im Projekt AS35 Brüttener;2029-01-01;2030-12-01;100.0;Umsetzung;;47.4202020365,8.61927645696;Dietlikon
ROT;EF Perronverlängerung 320m;EF;EF;;;0;FET-WZ;2024-01-01;2027-10-31;200.0;Sperre Strecke Nacht;;47.425812078,8.68667913161;Effretikon
ROT;EF Gesamterneuerung;EF;EF;;;0;Start Vorstudie 08/20, MS1 03/21, MS2 09/21, MS3 07/22;2037-01-01;2040-10-31;200.0;Umsetzung;;47.425812078,8.68667913161;Effretikon
ROT;KE BehiG;KE;KE;;;0;Konzeptanfrage 03.07.20 an FUB, keine Rückmeldung;2023-09-01;2024-11-28;65.0;Umsetzung;;47.4528388907,8.70558620929;Kemptthal
ROT;ZWIP Stw Ersatz;ZWIP;ZWIP;;;0;;2029-01-01;2029-12-16;50.0;Umsetzung;;47.3930388776,8.52938238484;Zürich Wipkingen
ROT;ZWIP Erhalt Bahninfra;ZWIP;ZWIP;;;0;;2023-12-15;2024-12-12;52.0;Sperre Strecke 24 Std;1.0;47.3930388776,8.52938238484;Zürich Wipkingen
ROT;OP BehiG (Studie läuft);OP;OP;;;0;;2025-01-01;2026-12-01;100.0;Umsetzung;;47.4299548445,8.56179472865;Opfikon
ROT;OP Stw Ersatz;OP;OP;;;0;;2029-01-01;2030-12-01;100.0;Umsetzung;;47.4299548445,8.56179472865;Opfikon
ROT;AS35 OWT-FF Perronverlängerung 320m;WD;ISL;;;0;;2025-01-01;2027-11-16;150.0;Umsetzung;;47.5478349177,8.84619697706;Islikon
ROT;SLG Verlängerung Abstellgleis Gl 97;SLG;SLG;;;0;Verlängerung GL 97 auf über 600m;2025-01-01;2025-12-16;50.0;Umsetzung;;47.5388040261,9.18369439908;Sulgen
ROT;FbE25 WF Gl 389, W264 (ex FbE22);WF;WF;;;0.251;Nebengleis;2025-01-01;2025-01-21;3.0;Sperre Bahnhof 24 Std;;47.5662242454,9.10636820814;Weinfelden
ROT;FsE OA-RH (FL Totalerneuerung);OA;RH;;;0;8h Einspurbetrieb möglich, Umsetzung 2024 Konflikt mit Rheintal + FbE SLG-OA;2023-01-01;2025-11-15;150.0;Umsetzung;;47.565522828,9.37937134408;Romanshorn
